Apr. 7, 2014   14:01:06
Amperometric i-t Curve
File: z:\research\electrochemistry\04-07-2014\01ait\01ait -0.4v ptqcm in 4.5g kno3.txt
Data Source:  Experiment
Instrument Model:  CHI760D
Header: 
Note: 

Init E (V) = -0.4
Sample Interval (s) = 1
Run Time (sec) = 9.999e+3
Quiet Time (sec) = 0
Sensitivity (A/V) = 1e-5

Time/sec, Current/A, Charge/C

1.000e+0, 8.986e-5, 8.986e-4
2.000e+0, 3.844e-5, 9.370e-4
3.000e+0, 3.042e-5, 9.674e-4
4.000e+0, 2.689e-5, 9.943e-4
5.000e+0, 2.451e-5, 1.019e-3
6.000e+0, 2.276e-5, 1.042e-3
7.000e+0, 2.140e-5, 1.063e-3
8.000e+0, 2.023e-5, 1.083e-3
9.000e+0, 1.923e-5, 1.102e-3
1.000e+1, 1.827e-5, 1.121e-3
1.100e+1, 1.749e-5, 1.138e-3
1.200e+1, 1.690e-5, 1.155e-3
1.300e+1, 1.633e-5, 1.171e-3
1.400e+1, 1.582e-5, 1.187e-3
1.500e+1, 1.533e-5, 1.203e-3
1.600e+1, 1.482e-5, 1.217e-3
1.700e+1, 1.439e-5, 1.232e-3
1.800e+1, 1.405e-5, 1.246e-3
1.900e+1, 1.369e-5, 1.260e-3
2.000e+1, 1.339e-5, 1.273e-3
2.100e+1, 1.310e-5, 1.286e-3
2.200e+1, 1.282e-5, 1.299e-3
2.300e+1, 1.256e-5, 1.311e-3
2.400e+1, 1.233e-5, 1.324e-3
2.500e+1, 1.216e-5, 1.336e-3
2.600e+1, 1.193e-5, 1.348e-3
2.700e+1, 1.172e-5, 1.360e-3
2.800e+1, 1.153e-5, 1.371e-3
2.900e+1, 1.136e-5, 1.382e-3
3.000e+1, 1.119e-5, 1.394e-3
3.100e+1, 1.103e-5, 1.405e-3
3.200e+1, 1.088e-5, 1.416e-3
3.300e+1, 1.074e-5, 1.426e-3
3.400e+1, 1.061e-5, 1.437e-3
3.500e+1, 1.053e-5, 1.447e-3
3.600e+1, 1.039e-5, 1.458e-3
3.700e+1, 1.026e-5, 1.468e-3
3.800e+1, 1.014e-5, 1.478e-3
3.900e+1, 1.004e-5, 1.488e-3
4.000e+1, 9.921e-6, 1.498e-3
4.100e+1, 9.821e-6, 1.508e-3
4.200e+1, 9.713e-6, 1.518e-3
4.300e+1, 9.614e-6, 1.527e-3
4.400e+1, 9.514e-6, 1.537e-3
4.500e+1, 9.422e-6, 1.546e-3
4.600e+1, 9.345e-6, 1.556e-3
4.700e+1, 9.258e-6, 1.565e-3
4.800e+1, 9.168e-6, 1.574e-3
4.900e+1, 9.088e-6, 1.583e-3
5.000e+1, 9.014e-6, 1.592e-3
5.100e+1, 8.947e-6, 1.601e-3
5.200e+1, 8.877e-6, 1.610e-3
5.300e+1, 8.810e-6, 1.619e-3
5.400e+1, 8.759e-6, 1.628e-3
5.500e+1, 8.685e-6, 1.636e-3
5.600e+1, 8.603e-6, 1.645e-3
5.700e+1, 8.534e-6, 1.653e-3
5.800e+1, 8.466e-6, 1.662e-3
5.900e+1, 8.401e-6, 1.670e-3
6.000e+1, 8.340e-6, 1.679e-3
6.100e+1, 8.298e-6, 1.687e-3
6.200e+1, 8.237e-6, 1.695e-3
6.300e+1, 8.174e-6, 1.703e-3
6.400e+1, 8.118e-6, 1.711e-3
6.500e+1, 8.064e-6, 1.719e-3
6.600e+1, 8.010e-6, 1.727e-3
6.700e+1, 7.962e-6, 1.735e-3
6.800e+1, 7.917e-6, 1.743e-3
6.900e+1, 7.864e-6, 1.751e-3
7.000e+1, 7.825e-6, 1.759e-3
7.100e+1, 7.776e-6, 1.767e-3
7.200e+1, 7.726e-6, 1.775e-3
7.300e+1, 7.679e-6, 1.782e-3
7.400e+1, 7.635e-6, 1.790e-3
7.500e+1, 7.591e-6, 1.797e-3
7.600e+1, 7.549e-6, 1.805e-3
7.700e+1, 7.510e-6, 1.813e-3
7.800e+1, 7.471e-6, 1.820e-3
7.900e+1, 7.429e-6, 1.827e-3
8.000e+1, 7.389e-6, 1.835e-3
8.100e+1, 7.351e-6, 1.842e-3
8.200e+1, 7.313e-6, 1.849e-3
8.300e+1, 7.277e-6, 1.857e-3
8.400e+1, 7.240e-6, 1.864e-3
8.500e+1, 7.205e-6, 1.871e-3
8.600e+1, 7.170e-6, 1.878e-3
8.700e+1, 7.136e-6, 1.885e-3
8.800e+1, 7.102e-6, 1.893e-3
8.900e+1, 7.069e-6, 1.900e-3
9.000e+1, 7.036e-6, 1.907e-3
9.100e+1, 7.004e-6, 1.914e-3
9.200e+1, 6.978e-6, 1.921e-3
9.300e+1, 6.944e-6, 1.928e-3
9.400e+1, 6.914e-6, 1.935e-3
9.500e+1, 6.883e-6, 1.941e-3
9.600e+1, 6.854e-6, 1.948e-3
9.700e+1, 6.824e-6, 1.955e-3
9.800e+1, 6.796e-6, 1.962e-3
9.900e+1, 6.784e-6, 1.969e-3
1.000e+2, 6.751e-6, 1.975e-3
1.010e+2, 6.721e-6, 1.982e-3
1.020e+2, 6.693e-6, 1.989e-3
1.030e+2, 6.665e-6, 1.996e-3
1.040e+2, 6.639e-6, 2.002e-3
1.050e+2, 6.615e-6, 2.009e-3
1.060e+2, 6.622e-6, 2.015e-3
1.070e+2, 6.574e-6, 2.022e-3
1.080e+2, 6.547e-6, 2.029e-3
1.090e+2, 6.521e-6, 2.035e-3
1.100e+2, 6.496e-6, 2.042e-3
1.110e+2, 6.472e-6, 2.048e-3
1.120e+2, 6.448e-6, 2.054e-3
1.130e+2, 6.426e-6, 2.061e-3
1.140e+2, 6.403e-6, 2.067e-3
1.150e+2, 6.410e-6, 2.074e-3
1.160e+2, 6.380e-6, 2.080e-3
1.170e+2, 6.348e-6, 2.086e-3
1.180e+2, 6.324e-6, 2.093e-3
1.190e+2, 6.302e-6, 2.099e-3
1.200e+2, 6.281e-6, 2.105e-3
1.210e+2, 6.259e-6, 2.112e-3
1.220e+2, 6.239e-6, 2.118e-3
1.230e+2, 6.218e-6, 2.124e-3
1.240e+2, 6.199e-6, 2.130e-3
1.250e+2, 6.180e-6, 2.136e-3
1.260e+2, 6.159e-6, 2.143e-3
1.270e+2, 6.139e-6, 2.149e-3
1.280e+2, 6.120e-6, 2.155e-3
1.290e+2, 6.100e-6, 2.161e-3
1.300e+2, 6.081e-6, 2.167e-3
1.310e+2, 6.063e-6, 2.173e-3
1.320e+2, 6.045e-6, 2.179e-3
1.330e+2, 6.026e-6, 2.185e-3
1.340e+2, 6.009e-6, 2.191e-3
1.350e+2, 5.992e-6, 2.197e-3
1.360e+2, 5.974e-6, 2.203e-3
1.370e+2, 5.957e-6, 2.209e-3
1.380e+2, 5.940e-6, 2.215e-3
1.390e+2, 5.923e-6, 2.221e-3
1.400e+2, 5.907e-6, 2.227e-3
1.410e+2, 5.891e-6, 2.233e-3
1.420e+2, 5.875e-6, 2.239e-3
1.430e+2, 5.859e-6, 2.244e-3
1.440e+2, 5.843e-6, 2.250e-3
1.450e+2, 5.828e-6, 2.256e-3
1.460e+2, 5.812e-6, 2.262e-3
1.470e+2, 5.798e-6, 2.268e-3
1.480e+2, 5.782e-6, 2.274e-3
1.490e+2, 5.767e-6, 2.279e-3
1.500e+2, 5.756e-6, 2.285e-3
1.510e+2, 5.739e-6, 2.291e-3
1.520e+2, 5.725e-6, 2.297e-3
1.530e+2, 5.710e-6, 2.302e-3
1.540e+2, 5.697e-6, 2.308e-3
1.550e+2, 5.683e-6, 2.314e-3
1.560e+2, 5.669e-6, 2.319e-3
1.570e+2, 5.655e-6, 2.325e-3
1.580e+2, 5.642e-6, 2.331e-3
1.590e+2, 5.629e-6, 2.336e-3
1.600e+2, 5.617e-6, 2.342e-3
1.610e+2, 5.603e-6, 2.347e-3
1.620e+2, 5.590e-6, 2.353e-3
1.630e+2, 5.578e-6, 2.359e-3
1.640e+2, 5.565e-6, 2.364e-3
1.650e+2, 5.557e-6, 2.370e-3
1.660e+2, 5.550e-6, 2.375e-3
1.670e+2, 5.534e-6, 2.381e-3
1.680e+2, 5.518e-6, 2.386e-3
1.690e+2, 5.506e-6, 2.392e-3
1.700e+2, 5.494e-6, 2.397e-3
1.710e+2, 5.482e-6, 2.403e-3
1.720e+2, 5.470e-6, 2.408e-3
1.730e+2, 5.458e-6, 2.414e-3
1.740e+2, 5.447e-6, 2.419e-3
1.750e+2, 5.436e-6, 2.425e-3
1.760e+2, 5.424e-6, 2.430e-3
1.770e+2, 5.413e-6, 2.435e-3
1.780e+2, 5.402e-6, 2.441e-3
1.790e+2, 5.390e-6, 2.446e-3
1.800e+2, 5.379e-6, 2.452e-3
1.810e+2, 5.368e-6, 2.457e-3
1.820e+2, 5.358e-6, 2.462e-3
1.830e+2, 5.347e-6, 2.468e-3
1.840e+2, 5.337e-6, 2.473e-3
1.850e+2, 5.327e-6, 2.478e-3
1.860e+2, 5.316e-6, 2.484e-3
1.870e+2, 5.306e-6, 2.489e-3
1.880e+2, 5.296e-6, 2.494e-3
1.890e+2, 5.286e-6, 2.500e-3
1.900e+2, 5.276e-6, 2.505e-3
1.910e+2, 5.266e-6, 2.510e-3
1.920e+2, 5.256e-6, 2.515e-3
1.930e+2, 5.258e-6, 2.521e-3
1.940e+2, 5.239e-6, 2.526e-3
1.950e+2, 5.229e-6, 2.531e-3
1.960e+2, 5.220e-6, 2.536e-3
1.970e+2, 5.210e-6, 2.542e-3
1.980e+2, 5.201e-6, 2.547e-3
1.990e+2, 5.192e-6, 2.552e-3
2.000e+2, 5.182e-6, 2.557e-3
2.010e+2, 5.173e-6, 2.562e-3
2.020e+2, 5.164e-6, 2.567e-3
2.030e+2, 5.155e-6, 2.573e-3
2.040e+2, 5.146e-6, 2.578e-3
2.050e+2, 5.137e-6, 2.583e-3
2.060e+2, 5.129e-6, 2.588e-3
2.070e+2, 5.120e-6, 2.593e-3
2.080e+2, 5.111e-6, 2.598e-3
2.090e+2, 5.102e-6, 2.603e-3
2.100e+2, 5.094e-6, 2.608e-3
2.110e+2, 5.085e-6, 2.614e-3
2.120e+2, 5.077e-6, 2.619e-3
2.130e+2, 5.069e-6, 2.624e-3
2.140e+2, 5.061e-6, 2.629e-3
2.150e+2, 5.053e-6, 2.634e-3
2.160e+2, 5.045e-6, 2.639e-3
2.170e+2, 5.037e-6, 2.644e-3
2.180e+2, 5.029e-6, 2.649e-3
2.190e+2, 5.022e-6, 2.654e-3
2.200e+2, 5.013e-6, 2.659e-3
2.210e+2, 5.006e-6, 2.664e-3
2.220e+2, 4.998e-6, 2.669e-3
2.230e+2, 4.990e-6, 2.674e-3
2.240e+2, 4.983e-6, 2.679e-3
2.250e+2, 4.975e-6, 2.684e-3
2.260e+2, 4.968e-6, 2.689e-3
2.270e+2, 4.970e-6, 2.694e-3
2.280e+2, 4.956e-6, 2.699e-3
2.290e+2, 4.947e-6, 2.704e-3
2.300e+2, 4.942e-6, 2.709e-3
2.310e+2, 4.933e-6, 2.714e-3
2.320e+2, 4.926e-6, 2.719e-3
2.330e+2, 4.918e-6, 2.723e-3
2.340e+2, 4.911e-6, 2.728e-3
2.350e+2, 4.904e-6, 2.733e-3
2.360e+2, 4.897e-6, 2.738e-3
2.370e+2, 4.890e-6, 2.743e-3
2.380e+2, 4.883e-6, 2.748e-3
2.390e+2, 4.876e-6, 2.753e-3
2.400e+2, 4.870e-6, 2.758e-3
2.410e+2, 4.862e-6, 2.763e-3
2.420e+2, 4.856e-6, 2.767e-3
2.430e+2, 4.849e-6, 2.772e-3
2.440e+2, 4.842e-6, 2.777e-3
2.450e+2, 4.836e-6, 2.782e-3
2.460e+2, 4.830e-6, 2.787e-3
2.470e+2, 4.823e-6, 2.792e-3
2.480e+2, 4.816e-6, 2.796e-3
2.490e+2, 4.810e-6, 2.801e-3
2.500e+2, 4.804e-6, 2.806e-3
2.510e+2, 4.798e-6, 2.811e-3
2.520e+2, 4.791e-6, 2.816e-3
2.530e+2, 4.784e-6, 2.820e-3
2.540e+2, 4.778e-6, 2.825e-3
2.550e+2, 4.772e-6, 2.830e-3
2.560e+2, 4.766e-6, 2.835e-3
2.570e+2, 4.760e-6, 2.839e-3
2.580e+2, 4.754e-6, 2.844e-3
2.590e+2, 4.748e-6, 2.849e-3
2.600e+2, 4.742e-6, 2.854e-3
2.610e+2, 4.736e-6, 2.858e-3
2.620e+2, 4.730e-6, 2.863e-3
2.630e+2, 4.724e-6, 2.868e-3
2.640e+2, 4.718e-6, 2.873e-3
2.650e+2, 4.712e-6, 2.877e-3
2.660e+2, 4.706e-6, 2.882e-3
2.670e+2, 4.701e-6, 2.887e-3
2.680e+2, 4.695e-6, 2.891e-3
2.690e+2, 4.689e-6, 2.896e-3
2.700e+2, 4.684e-6, 2.901e-3
2.710e+2, 4.678e-6, 2.905e-3
2.720e+2, 4.673e-6, 2.910e-3
2.730e+2, 4.667e-6, 2.915e-3
2.740e+2, 4.662e-6, 2.919e-3
2.750e+2, 4.656e-6, 2.924e-3
2.760e+2, 4.650e-6, 2.929e-3
2.770e+2, 4.644e-6, 2.933e-3
2.780e+2, 4.639e-6, 2.938e-3
2.790e+2, 4.634e-6, 2.943e-3
2.800e+2, 4.629e-6, 2.947e-3
2.810e+2, 4.623e-6, 2.952e-3
2.820e+2, 4.617e-6, 2.957e-3
2.830e+2, 4.612e-6, 2.961e-3
2.840e+2, 4.607e-6, 2.966e-3
2.850e+2, 4.602e-6, 2.970e-3
2.860e+2, 4.597e-6, 2.975e-3
2.870e+2, 4.592e-6, 2.980e-3
2.880e+2, 4.587e-6, 2.984e-3
2.890e+2, 4.582e-6, 2.989e-3
2.900e+2, 4.577e-6, 2.993e-3
2.910e+2, 4.572e-6, 2.998e-3
2.920e+2, 4.567e-6, 3.002e-3
2.930e+2, 4.563e-6, 3.007e-3
2.940e+2, 4.557e-6, 3.012e-3
2.950e+2, 4.552e-6, 3.016e-3
2.960e+2, 4.547e-6, 3.021e-3
2.970e+2, 4.542e-6, 3.025e-3
2.980e+2, 4.537e-6, 3.030e-3
2.990e+2, 4.533e-6, 3.034e-3
3.000e+2, 4.529e-6, 3.039e-3
3.010e+2, 4.523e-6, 3.043e-3
3.020e+2, 4.519e-6, 3.048e-3
3.030e+2, 4.513e-6, 3.052e-3
3.040e+2, 4.509e-6, 3.057e-3
3.050e+2, 4.504e-6, 3.061e-3
3.060e+2, 4.499e-6, 3.066e-3
3.070e+2, 4.496e-6, 3.070e-3
3.080e+2, 4.491e-6, 3.075e-3
3.090e+2, 4.486e-6, 3.079e-3
3.100e+2, 4.482e-6, 3.084e-3
3.110e+2, 4.477e-6, 3.088e-3
3.120e+2, 4.472e-6, 3.093e-3
3.130e+2, 4.468e-6, 3.097e-3
3.140e+2, 4.463e-6, 3.102e-3
3.150e+2, 4.459e-6, 3.106e-3
3.160e+2, 4.455e-6, 3.111e-3
3.170e+2, 4.451e-6, 3.115e-3
3.180e+2, 4.446e-6, 3.120e-3
3.190e+2, 4.442e-6, 3.124e-3
3.200e+2, 4.438e-6, 3.128e-3
3.210e+2, 4.434e-6, 3.133e-3
3.220e+2, 4.430e-6, 3.137e-3
3.230e+2, 4.425e-6, 3.142e-3
3.240e+2, 4.421e-6, 3.146e-3
3.250e+2, 4.416e-6, 3.151e-3
3.260e+2, 4.412e-6, 3.155e-3
3.270e+2, 4.408e-6, 3.159e-3
3.280e+2, 4.404e-6, 3.164e-3
3.290e+2, 4.400e-6, 3.168e-3
3.300e+2, 4.396e-6, 3.173e-3
3.310e+2, 4.392e-6, 3.177e-3
3.320e+2, 4.388e-6, 3.181e-3
3.330e+2, 4.384e-6, 3.186e-3
3.340e+2, 4.379e-6, 3.190e-3
3.350e+2, 4.375e-6, 3.194e-3
3.360e+2, 4.371e-6, 3.199e-3
3.370e+2, 4.367e-6, 3.203e-3
3.380e+2, 4.363e-6, 3.208e-3
3.390e+2, 4.359e-6, 3.212e-3
3.400e+2, 4.356e-6, 3.216e-3
3.410e+2, 4.351e-6, 3.221e-3
3.420e+2, 4.347e-6, 3.225e-3
3.430e+2, 4.343e-6, 3.229e-3
3.440e+2, 4.340e-6, 3.234e-3
3.450e+2, 4.336e-6, 3.238e-3
3.460e+2, 4.332e-6, 3.242e-3
3.470e+2, 4.328e-6, 3.247e-3
3.480e+2, 4.324e-6, 3.251e-3
3.490e+2, 4.321e-6, 3.255e-3
3.500e+2, 4.317e-6, 3.260e-3
3.510e+2, 4.322e-6, 3.264e-3
3.520e+2, 4.319e-6, 3.268e-3
3.530e+2, 4.309e-6, 3.273e-3
3.540e+2, 4.304e-6, 3.277e-3
3.550e+2, 4.301e-6, 3.281e-3
3.560e+2, 4.297e-6, 3.285e-3
3.570e+2, 4.293e-6, 3.290e-3
3.580e+2, 4.289e-6, 3.294e-3
3.590e+2, 4.286e-6, 3.298e-3
3.600e+2, 4.282e-6, 3.303e-3
3.610e+2, 4.278e-6, 3.307e-3
3.620e+2, 4.275e-6, 3.311e-3
3.630e+2, 4.271e-6, 3.315e-3
3.640e+2, 4.267e-6, 3.320e-3
3.650e+2, 4.264e-6, 3.324e-3
3.660e+2, 4.261e-6, 3.328e-3
3.670e+2, 4.257e-6, 3.332e-3
3.680e+2, 4.254e-6, 3.337e-3
3.690e+2, 4.250e-6, 3.341e-3
3.700e+2, 4.275e-6, 3.345e-3
3.710e+2, 4.249e-6, 3.350e-3
3.720e+2, 4.244e-6, 3.354e-3
3.730e+2, 4.242e-6, 3.358e-3
3.740e+2, 4.236e-6, 3.362e-3
3.750e+2, 4.232e-6, 3.366e-3
3.760e+2, 4.229e-6, 3.371e-3
3.770e+2, 4.225e-6, 3.375e-3
3.780e+2, 4.222e-6, 3.379e-3
3.790e+2, 4.218e-6, 3.383e-3
3.800e+2, 4.215e-6, 3.388e-3
3.810e+2, 4.211e-6, 3.392e-3
3.820e+2, 4.208e-6, 3.396e-3
3.830e+2, 4.204e-6, 3.400e-3
3.840e+2, 4.201e-6, 3.404e-3
3.850e+2, 4.198e-6, 3.409e-3
3.860e+2, 4.194e-6, 3.413e-3
3.870e+2, 4.191e-6, 3.417e-3
3.880e+2, 4.188e-6, 3.421e-3
3.890e+2, 4.185e-6, 3.425e-3
3.900e+2, 4.182e-6, 3.430e-3
3.910e+2, 4.178e-6, 3.434e-3
3.920e+2, 4.175e-6, 3.438e-3
3.930e+2, 4.172e-6, 3.442e-3
3.940e+2, 4.169e-6, 3.446e-3
3.950e+2, 4.166e-6, 3.450e-3
3.960e+2, 4.163e-6, 3.455e-3
3.970e+2, 4.160e-6, 3.459e-3
3.980e+2, 4.156e-6, 3.463e-3
3.990e+2, 4.153e-6, 3.467e-3
4.000e+2, 4.150e-6, 3.471e-3
4.010e+2, 4.147e-6, 3.475e-3
4.020e+2, 4.144e-6, 3.479e-3
4.030e+2, 4.141e-6, 3.484e-3
4.040e+2, 4.138e-6, 3.488e-3
4.050e+2, 4.135e-6, 3.492e-3
4.060e+2, 4.132e-6, 3.496e-3
4.070e+2, 4.129e-6, 3.500e-3
4.080e+2, 4.126e-6, 3.504e-3
4.090e+2, 4.123e-6, 3.508e-3
4.100e+2, 4.120e-6, 3.513e-3
4.110e+2, 4.117e-6, 3.517e-3
4.120e+2, 4.114e-6, 3.521e-3
4.130e+2, 4.111e-6, 3.525e-3
4.140e+2, 4.108e-6, 3.529e-3
4.150e+2, 4.114e-6, 3.533e-3
4.160e+2, 4.108e-6, 3.537e-3
4.170e+2, 4.101e-6, 3.541e-3
4.180e+2, 4.099e-6, 3.545e-3
4.190e+2, 4.095e-6, 3.549e-3
4.200e+2, 4.092e-6, 3.554e-3
4.210e+2, 4.089e-6, 3.558e-3
4.220e+2, 4.087e-6, 3.562e-3
4.230e+2, 4.084e-6, 3.566e-3
4.240e+2, 4.080e-6, 3.570e-3
4.250e+2, 4.078e-6, 3.574e-3
4.260e+2, 4.075e-6, 3.578e-3
4.270e+2, 4.072e-6, 3.582e-3
4.280e+2, 4.070e-6, 3.586e-3
4.290e+2, 4.067e-6, 3.590e-3
4.300e+2, 4.065e-6, 3.594e-3
4.310e+2, 4.062e-6, 3.598e-3
4.320e+2, 4.059e-6, 3.602e-3
4.330e+2, 4.057e-6, 3.607e-3
4.340e+2, 4.054e-6, 3.611e-3
4.350e+2, 4.051e-6, 3.615e-3
4.360e+2, 4.048e-6, 3.619e-3
4.370e+2, 4.046e-6, 3.623e-3
4.380e+2, 4.043e-6, 3.627e-3
4.390e+2, 4.041e-6, 3.631e-3
4.400e+2, 4.038e-6, 3.635e-3
4.410e+2, 4.036e-6, 3.639e-3
4.420e+2, 4.033e-6, 3.643e-3
4.430e+2, 4.030e-6, 3.647e-3
4.440e+2, 4.028e-6, 3.651e-3
4.450e+2, 4.025e-6, 3.655e-3
4.460e+2, 4.022e-6, 3.659e-3
4.470e+2, 4.020e-6, 3.663e-3
4.480e+2, 4.018e-6, 3.667e-3
4.490e+2, 4.015e-6, 3.671e-3
4.500e+2, 4.012e-6, 3.675e-3
4.510e+2, 4.010e-6, 3.679e-3
4.520e+2, 4.007e-6, 3.683e-3
4.530e+2, 4.005e-6, 3.687e-3
4.540e+2, 4.003e-6, 3.691e-3
4.550e+2, 4.000e-6, 3.695e-3
4.560e+2, 3.998e-6, 3.699e-3
4.570e+2, 3.996e-6, 3.703e-3
4.580e+2, 3.993e-6, 3.707e-3
4.590e+2, 3.990e-6, 3.711e-3
4.600e+2, 3.988e-6, 3.715e-3
4.610e+2, 3.985e-6, 3.719e-3
4.620e+2, 3.983e-6, 3.723e-3
4.630e+2, 3.981e-6, 3.727e-3
4.640e+2, 3.978e-6, 3.731e-3
4.650e+2, 3.976e-6, 3.735e-3
4.660e+2, 3.973e-6, 3.739e-3
4.670e+2, 3.970e-6, 3.743e-3
4.680e+2, 3.968e-6, 3.747e-3
4.690e+2, 3.966e-6, 3.751e-3
4.700e+2, 3.963e-6, 3.755e-3
4.710e+2, 3.961e-6, 3.759e-3
4.720e+2, 3.959e-6, 3.763e-3
4.730e+2, 3.956e-6, 3.767e-3
4.740e+2, 3.954e-6, 3.771e-3
4.750e+2, 3.952e-6, 3.775e-3
4.760e+2, 3.950e-6, 3.779e-3
4.770e+2, 3.947e-6, 3.782e-3
4.780e+2, 3.945e-6, 3.786e-3
4.790e+2, 3.943e-6, 3.790e-3
4.800e+2, 3.941e-6, 3.794e-3
4.810e+2, 3.939e-6, 3.798e-3
4.820e+2, 3.936e-6, 3.802e-3
4.830e+2, 3.934e-6, 3.806e-3
4.840e+2, 3.931e-6, 3.810e-3
4.850e+2, 3.929e-6, 3.814e-3
4.860e+2, 3.927e-6, 3.818e-3
4.870e+2, 3.925e-6, 3.822e-3
4.880e+2, 3.923e-6, 3.826e-3
4.890e+2, 3.921e-6, 3.830e-3
4.900e+2, 3.918e-6, 3.834e-3
4.910e+2, 3.916e-6, 3.838e-3
4.920e+2, 3.914e-6, 3.841e-3
4.930e+2, 3.911e-6, 3.845e-3
4.940e+2, 3.909e-6, 3.849e-3
4.950e+2, 3.907e-6, 3.853e-3
4.960e+2, 3.904e-6, 3.857e-3
4.970e+2, 3.902e-6, 3.861e-3
4.980e+2, 3.900e-6, 3.865e-3
4.990e+2, 3.899e-6, 3.869e-3
5.000e+2, 3.896e-6, 3.873e-3
5.010e+2, 3.894e-6, 3.877e-3
5.020e+2, 3.892e-6, 3.880e-3
5.030e+2, 3.890e-6, 3.884e-3
5.040e+2, 3.888e-6, 3.888e-3
5.050e+2, 3.886e-6, 3.892e-3
5.060e+2, 3.884e-6, 3.896e-3
5.070e+2, 3.882e-6, 3.900e-3
5.080e+2, 3.880e-6, 3.904e-3
5.090e+2, 3.877e-6, 3.908e-3
5.100e+2, 3.876e-6, 3.912e-3
5.110e+2, 3.873e-6, 3.915e-3
5.120e+2, 3.871e-6, 3.919e-3
5.130e+2, 3.869e-6, 3.923e-3
5.140e+2, 3.867e-6, 3.927e-3
5.150e+2, 3.865e-6, 3.931e-3
5.160e+2, 3.863e-6, 3.935e-3
5.170e+2, 3.867e-6, 3.939e-3
5.180e+2, 3.868e-6, 3.942e-3
5.190e+2, 3.860e-6, 3.946e-3
5.200e+2, 3.858e-6, 3.950e-3
5.210e+2, 3.855e-6, 3.954e-3
5.220e+2, 3.853e-6, 3.958e-3
5.230e+2, 3.851e-6, 3.962e-3
5.240e+2, 3.849e-6, 3.966e-3
5.250e+2, 3.847e-6, 3.969e-3
5.260e+2, 3.845e-6, 3.973e-3
5.270e+2, 3.842e-6, 3.977e-3
5.280e+2, 3.840e-6, 3.981e-3
5.290e+2, 3.838e-6, 3.985e-3
5.300e+2, 3.836e-6, 3.989e-3
5.310e+2, 3.834e-6, 3.992e-3
5.320e+2, 3.832e-6, 3.996e-3
5.330e+2, 3.830e-6, 4.000e-3
5.340e+2, 3.828e-6, 4.004e-3
5.350e+2, 3.826e-6, 4.008e-3
5.360e+2, 3.824e-6, 4.012e-3
5.370e+2, 3.822e-6, 4.015e-3
5.380e+2, 3.820e-6, 4.019e-3
5.390e+2, 3.818e-6, 4.023e-3
5.400e+2, 3.817e-6, 4.027e-3
5.410e+2, 3.815e-6, 4.031e-3
5.420e+2, 3.813e-6, 4.035e-3
5.430e+2, 3.811e-6, 4.038e-3
5.440e+2, 3.809e-6, 4.042e-3
5.450e+2, 3.807e-6, 4.046e-3
5.460e+2, 3.806e-6, 4.050e-3
5.470e+2, 3.804e-6, 4.054e-3
5.480e+2, 3.802e-6, 4.057e-3
5.490e+2, 3.800e-6, 4.061e-3
5.500e+2, 3.799e-6, 4.065e-3
5.510e+2, 3.797e-6, 4.069e-3
5.520e+2, 3.795e-6, 4.073e-3
5.530e+2, 3.793e-6, 4.076e-3
5.540e+2, 3.791e-6, 4.080e-3
5.550e+2, 3.789e-6, 4.084e-3
5.560e+2, 3.787e-6, 4.088e-3
5.570e+2, 3.786e-6, 4.091e-3
5.580e+2, 3.784e-6, 4.095e-3
5.590e+2, 3.782e-6, 4.099e-3
5.600e+2, 3.780e-6, 4.103e-3
5.610e+2, 3.778e-6, 4.107e-3
5.620e+2, 3.777e-6, 4.110e-3
5.630e+2, 3.775e-6, 4.114e-3
5.640e+2, 3.773e-6, 4.118e-3
5.650e+2, 3.772e-6, 4.122e-3
5.660e+2, 3.770e-6, 4.125e-3
5.670e+2, 3.797e-6, 4.129e-3
5.680e+2, 3.773e-6, 4.133e-3
5.690e+2, 3.769e-6, 4.137e-3
5.700e+2, 3.766e-6, 4.141e-3
5.710e+2, 3.764e-6, 4.144e-3
5.720e+2, 3.762e-6, 4.148e-3
5.730e+2, 3.760e-6, 4.152e-3
5.740e+2, 3.758e-6, 4.156e-3
5.750e+2, 3.756e-6, 4.159e-3
5.760e+2, 3.754e-6, 4.163e-3
5.770e+2, 3.753e-6, 4.167e-3
5.780e+2, 3.751e-6, 4.171e-3
5.790e+2, 3.749e-6, 4.174e-3
5.800e+2, 3.748e-6, 4.178e-3
5.810e+2, 3.745e-6, 4.182e-3
5.820e+2, 3.743e-6, 4.186e-3
5.830e+2, 3.741e-6, 4.189e-3
5.840e+2, 3.740e-6, 4.193e-3
5.850e+2, 3.738e-6, 4.197e-3
5.860e+2, 3.743e-6, 4.201e-3
5.870e+2, 3.735e-6, 4.204e-3
5.880e+2, 3.733e-6, 4.208e-3
5.890e+2, 3.731e-6, 4.212e-3
5.900e+2, 3.729e-6, 4.216e-3
5.910e+2, 3.728e-6, 4.219e-3
5.920e+2, 3.726e-6, 4.223e-3
5.930e+2, 3.725e-6, 4.227e-3
5.940e+2, 3.723e-6, 4.230e-3
5.950e+2, 3.722e-6, 4.234e-3
5.960e+2, 3.720e-6, 4.238e-3
5.970e+2, 3.717e-6, 4.242e-3
5.980e+2, 3.716e-6, 4.245e-3
5.990e+2, 3.715e-6, 4.249e-3
